Tournament Name,Stage Name,date,time,team1,team2,team1_score,team2_score,result,Home Team Win,Away Team Win,Draw,tournament_year,match_id,team1_elo_start,team2_elo_start,team1_elo_end,team2_elo_end
1938 FIFA World Cup,round of 16,1938-06-05,17:30,Brazil,Poland,6,5,home team win,1,0,0,1938,41,1470.62,1500.0,1504.24,1466.38
1938 FIFA World Cup,round of 16,1938-06-05,18:30,Czechoslovakia,Netherlands,3,0,home team win,1,0,0,1938,42,1568.64,1469.0,1592.43,1445.21
1938 FIFA World Cup,round of 16,1938-06-09,18:00,Cuba,Romania,2,1,home team win,1,0,0,1938,43,1497.16,1469.87,1525.73,1441.3
1938 FIFA World Cup,round of 16,1938-06-09,18:00,Switzerland,Germany,4,2,home team win,1,0,0,1938,44,1488.62,1523.84,1523.85,1488.61
1938 FIFA World Cup,quarter-finals,1938-06-12,17:00,Sweden,Cuba,8,0,home team win,1,0,0,1938,45,1488.26,1525.73,1546.95,1467.04
1938 FIFA World Cup,quarter-finals,1938-06-12,17:00,Italy,France,3,1,home team win,1,0,0,1938,46,1953.83,1481.34,1959.64,1475.53
1938 FIFA World Cup,quarter-finals,1938-06-12,17:00,Hungary,Switzerland,2,0,home team win,1,0,0,1938,47,1523.13,1523.85,1570.23,1476.75
1938 FIFA World Cup,quarter-finals,1938-06-12,17:00,Brazil,Czechoslovakia,1,1,draw,0,0,1,1938,48,1504.24,1592.43,1515.42,1581.25
1938 FIFA World Cup,quarter-finals,1938-06-14,18:00,Brazil,Czechoslovakia,2,1,home team win,1,0,0,1938,49,1515.42,1581.25,1570.03,1526.64
1938 FIFA World Cup,semi-finals,1938-06-16,18:00,Hungary,Sweden,5,1,home team win,1,0,0,1938,50,1570.23,1546.95,1636.95,1480.23
1938 FIFA World Cup,semi-finals,1938-06-16,18:00,Italy,Brazil,2,1,home team win,1,0,0,1938,51,1959.64,1570.03,1972.79,1556.88
1938 FIFA World Cup,third-place match,1938-06-19,17:00,Brazil,Sweden,4,2,home team win,1,0,0,1938,52,1556.88,1480.23,1574.1,1463.01
1938 FIFA World Cup,final,1938-06-19,17:00,Italy,Hungary,4,2,home team win,1,0,0,1938,53,1972.79,1636.95,2161.69,1673.05
1950 FIFA World Cup,group stage,1950-06-24,15:00,Brazil,Mexico,4,0,home team win,1,0,0,1950,54,1574.1,1436.89,1589.09,1421.9
1950 FIFA World Cup,group stage,1950-06-25,15:00,Yugoslavia,Switzerland,3,0,home team win,1,0,0,1950,55,1471.11,1476.75,1494.48,1453.38
1950 FIFA World Cup,group stage,1950-06-25,15:00,England,Chile,2,0,home team win,1,0,0,1950,56,1500.0,1519.21,1523.22,1495.99
1950 FIFA World Cup,group stage,1950-06-25,15:00,Spain,United States,3,1,home team win,1,0,0,1950,57,1486.55,1442.35,1505.77,1423.13
1950 FIFA World Cup,group stage,1950-06-25,15:00,Sweden,Italy,3,2,home team win,1,0,0,1950,58,1463.01,2161.69,1504.27,2120.43
1950 FIFA World Cup,group stage,1950-06-28,15:00,Brazil,Switzerland,2,2,draw,0,0,1,1950,59,1589.09,1453.38,1581.65,1460.82
1950 FIFA World Cup,group stage,1950-06-28,15:00,Yugoslavia,Mexico,4,1,home team win,1,0,0,1950,60,1494.48,1421.9,1512.74,1403.64
1950 FIFA World Cup,group stage,1950-06-29,15:30,Sweden,Paraguay,2,2,draw,0,0,1,1950,61,1504.27,1499.43,1503.99,1499.71
1950 FIFA World Cup,group stage,1950-06-29,15:00,Spain,Chile,2,0,home team win,1,0,0,1950,62,1505.77,1495.99,1527.15,1474.61
1950 FIFA World Cup,group stage,1950-06-29,15:00,United States,England,1,0,home team win,1,0,0,1950,63,1423.13,1523.22,1450.02,1496.33
1950 FIFA World Cup,group stage,1950-07-01,15:00,Brazil,Yugoslavia,2,0,home team win,1,0,0,1950,64,1581.65,1512.74,1599.34,1495.05
1950 FIFA World Cup,group stage,1950-07-02,15:00,Chile,United States,5,2,home team win,1,0,0,1950,65,1474.61,1450.02,1495.98,1428.65
1950 FIFA World Cup,group stage,1950-07-02,15:00,Spain,England,1,0,home team win,1,0,0,1950,66,1527.15,1496.33,1546.29,1477.19
1950 FIFA World Cup,group stage,1950-07-02,15:00,Italy,Paraguay,2,0,home team win,1,0,0,1950,67,2120.43,1499.71,2121.63,1498.51
1950 FIFA World Cup,group stage,1950-07-02,15:00,Uruguay,Bolivia,8,0,home team win,1,0,0,1950,68,1926.96,1453.56,1930.4,1450.12
1950 FIFA World Cup,group stage,1950-07-02,15:40,Switzerland,Mexico,2,1,home team win,1,0,0,1950,69,1460.82,1403.64,1478.39,1386.07
1950 FIFA World Cup,final round,1950-07-09,15:00,Brazil,Sweden,7,1,home team win,1,0,0,1950,70,1599.34,1503.99,1618.38,1484.95
1950 FIFA World Cup,final round,1950-07-09,15:00,Uruguay,Spain,2,2,draw,0,0,1,1950,71,1930.4,1546.29,1914.35,1562.34
1950 FIFA World Cup,final round,1950-07-13,15:00,Brazil,Spain,6,1,home team win,1,0,0,1950,72,1618.38,1562.34,1639.38,1541.34
1950 FIFA World Cup,final round,1950-07-13,15:00,Uruguay,Sweden,3,2,home team win,1,0,0,1950,73,1914.35,1484.95,1917.62,1481.68
1950 FIFA World Cup,final round,1950-07-16,15:00,Sweden,Spain,3,1,home team win,1,0,0,1950,74,1481.68,1541.34,1507.42,1515.6
1950 FIFA World Cup,final round,1950-07-16,15:00,Uruguay,Brazil,2,1,home team win,1,0,0,1950,75,1917.62,1639.38,1924.67,1632.33
1954 FIFA World Cup,group stage,1954-06-16,18:00,Uruguay,Czechoslovakia,2,0,home team win,1,0,0,1954,76,1924.67,1526.64,1928.71,1522.6
1954 FIFA World Cup,group stage,1954-06-16,18:00,Austria,Scotland,1,0,home team win,1,0,0,1954,77,1486.76,1500.0,1508.56,1478.2
1954 FIFA World Cup,group stage,1954-06-16,18:00,Yugoslavia,France,1,0,home team win,1,0,0,1954,78,1495.05,1475.53,1514.87,1455.71
1954 FIFA World Cup,group stage,1954-06-16,18:00,Brazil,Mexico,5,0,home team win,1,0,0,1954,79,1632.33,1386.07,1642.08,1376.32
1954 FIFA World Cup,group stage,1954-06-17,17:50,Switzerland,Italy,2,1,home team win,1,0,0,1954,80,1478.39,2121.63,1519.38,2080.64
1954 FIFA World Cup,group stage,1954-06-17,18:00,Hungary,South Korea,9,0,home team win,1,0,0,1954,81,1673.05,1500.0,1688.69,1484.36
1954 FIFA World Cup,group stage,1954-06-17,18:00,Germany,Turkey,4,1,home team win,1,0,0,1954,82,1488.61,1500.0,1512.36,1476.25
1954 FIFA World Cup,group stage,1954-06-17,18:10,England,Belgium,4,4,draw,0,0,1,1954,83,1477.19,1397.48,1472.68,1401.99
1954 FIFA World Cup,group stage,1954-06-19,16:50,Uruguay,Scotland,7,0,home team win,1,0,0,1954,84,1928.71,1478.2,1932.47,1474.44
1954 FIFA World Cup,group stage,1954-06-19,17:00,Brazil,Yugoslavia,1,1,draw,0,0,1,1954,85,1642.08,1514.87,1635.07,1521.88
1954 FIFA World Cup,group stage,1954-06-19,17:00,Austria,Czechoslovakia,5,0,home team win,1,0,0,1954,86,1508.56,1522.6,1534.57,1496.59
1954 FIFA World Cup,group stage,1954-06-19,17:10,France,Mexico,3,2,home team win,1,0,0,1954,87,1455.71,1376.32,1471.99,1360.04
1954 FIFA World Cup,group stage,1954-06-20,16:50,Hungary,Germany,8,3,home team win,1,0,0,1954,88,1688.69,1512.36,1701.99,1499.06
1954 FIFA World Cup,group stage,1954-06-20,17:00,Turkey,South Korea,7,0,home team win,1,0,0,1954,89,1476.25,1484.36,1503.88,1456.73
1954 FIFA World Cup,group stage,1954-06-20,17:10,England,Switzerland,2,0,home team win,1,0,0,1954,90,1472.68,1519.38,1497.62,1494.44
1954 FIFA World Cup,group stage,1954-06-20,17:00,Italy,Belgium,4,1,home team win,1,0,0,1954,91,2080.64,1401.99,2081.55,1401.08
1954 FIFA World Cup,group stage,1954-06-23,18:00,Switzerland,Italy,4,1,home team win,1,0,0,1954,92,1494.44,2081.55,1538.92,2037.07
1954 FIFA World Cup,group stage,1954-06-23,18:00,Germany,Turkey,7,2,home team win,1,0,0,1954,93,1499.06,1503.88,1524.41,1478.53
1954 FIFA World Cup,quarter-finals,1954-06-26,17:00,Austria,Switzerland,7,5,home team win,1,0,0,1954,94,1534.57,1538.92,1582.16,1491.33
1954 FIFA World Cup,quarter-finals,1954-06-26,17:00,Uruguay,England,4,2,home team win,1,0,0,1954,95,1932.47,1497.62,1939.58,1490.51
1954 FIFA World Cup,quarter-finals,1954-06-27,17:00,Hungary,Brazil,4,2,home team win,1,0,0,1954,96,1701.99,1635.07,1740.05,1597.01
1954 FIFA World Cup,quarter-finals,1954-06-27,17:00,Germany,Yugoslavia,2,0,home team win,1,0,0,1954,97,1524.41,1521.88,1571.07,1475.22
1954 FIFA World Cup,semi-finals,1954-06-30,18:00,Hungary,Uruguay,4,2,home team win,1,0,0,1954,98,1740.05,1939.58,1845.59,1834.04
1954 FIFA World Cup,semi-finals,1954-06-30,18:00,Germany,Austria,6,1,home team win,1,0,0,1954,99,1571.07,1582.16,1645.88,1507.35
1954 FIFA World Cup,third-place match,1954-07-03,17:00,Austria,Uruguay,3,1,home team win,1,0,0,1954,100,1507.35,1834.04,1545.53,1795.86
1954 FIFA World Cup,final,1954-07-04,17:00,Germany,Hungary,3,2,home team win,1,0,0,1954,101,1645.88,1845.59,2028.08,1688.39
1958 FIFA World Cup,group stage,1958-06-08,19:00,Soviet Union,England,2,2,draw,0,0,1,1958,102,1500.0,1490.51,1499.45,1491.06
1958 FIFA World Cup,group stage,1958-06-08,19:00,Brazil,Austria,3,0,home team win,1,0,0,1958,103,1597.01,1545.53,1616.63,1525.91
1958 FIFA World Cup,group stage,1958-06-08,19:00,Hungary,Wales,1,1,draw,0,0,1,1958,104,1688.39,1500.0,1678.5,1509.89
1958 FIFA World Cup,group stage,1958-06-08,19:00,Yugoslavia,Scotland,1,1,draw,0,0,1,1958,105,1475.22,1474.44,1475.18,1474.48
1958 FIFA World Cup,group stage,1958-06-08,19:00,Northern Ireland,Czechoslovakia,1,0,home team win,1,0,0,1958,106,1500.0,1496.59,1520.79,1475.8
1958 FIFA World Cup,group stage,1958-06-08,19:00,Argentina,Germany,1,3,away team win,0,1,0,1958,107,1510.89,2028.08,1508.76,2030.21
1958 FIFA World Cup,group stage,1958-06-08,14:00,Sweden,Mexico,3,0,home team win,1,0,0,1958,108,1507.42,1360.04,1521.21,1346.25
1958 FIFA World Cup,group stage,1958-06-08,19:00,France,Paraguay,7,3,home team win,1,0,0,1958,109,1471.99,1498.51,1497.82,1472.68
1958 FIFA World Cup,group stage,1958-06-11,19:00,Argentina,Northern Ireland,3,1,home team win,1,0,0,1958,110,1508.76,1520.79,1531.52,1498.03
1958 FIFA World Cup,group stage,1958-06-11,19:00,Germany,Czechoslovakia,2,2,draw,0,0,1,1958,111,2030.21,1475.8,2011.79,1494.22
1958 FIFA World Cup,group stage,1958-06-11,19:00,Paraguay,Scotland,3,2,home team win,1,0,0,1958,112,1472.68,1474.48,1493.79,1453.37
1958 FIFA World Cup,group stage,1958-06-11,19:00,Yugoslavia,France,3,2,home team win,1,0,0,1958,113,1475.18,1497.82,1497.55,1475.45
1958 FIFA World Cup,group stage,1958-06-11,19:00,Mexico,Wales,1,1,draw,0,0,1,1958,114,1346.25,1509.89,1355.03,1501.11
1958 FIFA World Cup,group stage,1958-06-11,19:00,Brazil,England,0,0,draw,0,0,1,1958,115,1616.63,1491.06,1609.7,1497.99
1958 FIFA World Cup,group stage,1958-06-11,19:00,Soviet Union,Austria,2,0,home team win,1,0,0,1958,116,1499.45,1525.91,1523.12,1502.24
1958 FIFA World Cup,group stage,1958-06-12,19:00,Sweden,Hungary,2,1,home team win,1,0,0,1958,117,1521.21,1678.5,1551.12,1648.59
1958 FIFA World Cup,group stage,1958-06-15,19:00,Brazil,Soviet Union,2,0,home team win,1,0,0,1958,118,1609.7,1523.12,1626.33,1506.49
1958 FIFA World Cup,group stage,1958-06-15,19:00,Hungary,Mexico,4,0,home team win,1,0,0,1958,119,1648.59,1355.03,1656.07,1347.55
1958 FIFA World Cup,group stage,1958-06-15,19:00,England,Austria,2,2,draw,0,0,1,1958,120,1497.99,1502.24,1498.23,1502.0
1958 FIFA World Cup,group stage,1958-06-15,19:00,Paraguay,Yugoslavia,3,3,draw,0,0,1,1958,121,1493.79,1497.55,1494.01,1497.33
1958 FIFA World Cup,group stage,1958-06-15,19:00,France,Scotland,2,1,home team win,1,0,0,1958,122,1475.45,1453.37,1495.12,1433.7
1958 FIFA World Cup,group stage,1958-06-15,19:00,Germany,Northern Ireland,2,2,draw,0,0,1,1958,123,2011.79,1498.03,1993.77,1516.05
1958 FIFA World Cup,group stage,1958-06-15,19:00,Czechoslovakia,Argentina,6,1,home team win,1,0,0,1958,124,1494.22,1531.52,1521.89,1503.85
1958 FIFA World Cup,group stage,1958-06-15,14:00,Sweden,Wales,0,0,draw,0,0,1,1958,125,1551.12,1501.11,1548.26,1503.97
1958 FIFA World Cup,group stage,1958-06-17,19:00,Northern Ireland,Czechoslovakia,2,1,home team win,1,0,0,1958,126,1516.05,1521.89,1537.4,1500.54
1958 FIFA World Cup,group stage,1958-06-17,19:00,Wales,Hungary,2,1,home team win,1,0,0,1958,127,1503.97,1656.07,1533.62,1626.42
1958 FIFA World Cup,group stage,1958-06-17,19:00,Soviet Union,England,1,0,home team win,1,0,0,1958,128,1506.49,1498.23,1526.99,1477.73
1958 FIFA World Cup,quarter-finals,1958-06-19,19:00,Brazil,Wales,1,0,home team win,1,0,0,1958,129,1626.33,1533.62,1660.34,1499.61
1958 FIFA World Cup,quarter-finals,1958-06-19,19:00,France,Northern Ireland,4,0,home team win,1,0,0,1958,130,1495.12,1537.4,1550.05,1482.47
1958 FIFA World Cup,quarter-finals,1958-06-19,19:00,Sweden,Soviet Union,2,0,home team win,1,0,0,1958,131,1548.26,1526.99,1592.39,1482.86
1958 FIFA World Cup,quarter-finals,1958-06-19,19:00,Germany,Yugoslavia,1,0,home team win,1,0,0,1958,132,1993.77,1497.33,1998.76,1492.34
1958 FIFA World Cup,semi-finals,1958-06-24,19:00,Brazil,France,5,2,home team win,1,0,0,1958,133,1660.34,1550.05,1709.18,1501.21
1958 FIFA World Cup,semi-finals,1958-06-24,19:00,Sweden,Germany,3,1,home team win,1,0,0,1958,134,1592.39,1998.76,1719.17,1871.98
1958 FIFA World Cup,third-place match,1958-06-28,17:00,France,Germany,6,3,home team win,1,0,0,1958,135,1501.21,1871.98,1542.34,1830.85
